region_id,area,perimeter,centroid_y,centroid_x,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,width,height,solidity,extent,aspect_ratio,mean_brightness,std_brightness,min_brightness,mean_red,mean_green,mean_blue
1,4930,1100.3788591251896,52.8947261663286,87.19716024340771,0,0,130,189,189,130,0.3867880119253099,0.20065120065120065,0.6878306877942947,0.1074952632188797,0.046643901616334915,0.0,0.10096725076436996,0.09290258586406708,0.12862028181552887
37,3157,384.8599564173221,275.345264491606,136.53120050681025,222,104,337,185,81,115,0.6401054339010543,0.3389157273215244,1.419753086244475,0.10544593632221222,0.04058034345507622,0.01568627543747425,0.11026383936405182,0.0884486585855484,0.11762338131666183
28,1958,505.9137802864845,228.62257405515834,260.40909090909093,173,204,306,308,104,133,0.28144315078338367,0.1415558126084442,1.2788461537231879,0.10546110570430756,0.04851120710372925,0.0,0.1334381252527237,0.09180951118469238,0.09113254398107529
53,1874,407.9726547895302,382.8649946638207,194.8991462113127,349,160,436,229,69,87,0.42226228030644436,0.31217724471097785,1.2608695650346566,0.11493712663650513,0.03515823930501938,0.0,0.11789068579673767,0.09721148759126663,0.12970544397830963
56,1848,323.33304448274095,395.4680735930736,51.45183982683983,364,20,444,81,61,80,0.5608497723823975,0.37868852459016394,1.3114754096210697,0.10753262042999268,0.03970080614089966,0.0,0.11658050864934921,0.09152558445930481,0.11448827385902405
88,1600,255.66399692442877,605.325625,250.349375,565,227,640,274,47,75,0.6666666666666666,0.45390070921985815,1.5957446805115436,0.10439379513263702,0.03725896403193474,0.0,0.10043039917945862,0.08923449367284775,0.1235135942697525
2,1571,335.19700551341987,22.214513049013366,248.9077021005729,0,222,52,282,60,52,0.7070207020702071,0.503525641025641,0.8666666665222222,0.09690343588590622,0.051472801715135574,0.0,0.09405189007520676,0.08442408591508865,0.11223168671131134
41,1522,458.74220741123065,279.3423127463863,42.35413929040736,232,5,339,91,86,107,0.3045218087234894,0.16539882634209954,1.2441860463669552,0.10699199885129929,0.05722430348396301,0.0,0.10840119421482086,0.09350092709064484,0.11907076090574265
72,1351,364.6589462905455,533.9378238341969,233.9496669133975,490,207,576,264,57,86,0.4826723829939264,0.2756017951856385,1.5087719295598645,0.12173021584749222,0.03733328729867935,0.0,0.11492037773132324,0.10156507790088654,0.1487017720937729
29,1343,357.09650045003156,212.73119880863737,422.5271779597915,181,382,262,466,84,81,0.42473118279569894,0.19738389182833627,0.9642857141709185,0.12616083025932312,0.030240528285503387,0.01568627543747425,0.1344214379787445,0.11031974107027054,0.13373805582523346
91,1334,463.84776310850236,626.9325337331335,596.9152923538231,601,530,640,640,110,39,0.5039667548167737,0.31095571095571095,0.35454545451322317,0.10634390264749527,0.11509417742490768,0.0,0.10349472612142563,0.10335066169500351,0.11218442767858505
16,1007,285.56349186104046,124.42601787487587,487.9761668321748,96,432,141,535,103,45,0.47861216730038025,0.21725997842502698,0.4368932038410784,0.11303490400314331,0.03275385499000549,0.01568627543747425,0.12835949659347534,0.10291021317243576,0.10783270001411438
21,940,216.83556979968262,127.17340425531916,590.1968085106383,108,570,161,618,48,53,0.6088082901554405,0.3694968553459119,1.1041666664366319,0.10354193300008774,0.048923928290605545,0.0,0.09913160651922226,0.09178079664707184,0.11971166729927063
34,862,271.79393923934,258.46403712296984,502.05916473317865,208,488,322,524,36,114,0.5428211586901763,0.21003898635477583,3.166666665787037,0.09290903061628342,0.05544967204332352,0.0,0.1429043710231781,0.0805465504527092,0.05527476593852043
69,787,179.23759005323592,517.8424396442185,341.3354510800508,482,331,555,351,20,73,0.7368913857677902,0.5390410958904109,3.6499999981749998,0.12027306854724884,0.04431932792067528,0.0,0.16149581968784332,0.10750129818916321,0.09182024002075195
93,730,155.3380951166243,623.6205479452054,113.92739726027398,605,93,640,137,44,35,0.7019230769230769,0.474025974025974,0.7954545452737604,0.11823081225156784,0.03671262040734291,0.01568627543747425,0.11172150820493698,0.10257832705974579,0.14039158821105957
87,716,122.12489168102783,576.6522346368715,349.0768156424581,562,333,595,366,33,33,0.8201603665521191,0.657483930211203,0.9999999996969696,0.10371161997318268,0.03209572657942772,0.0,0.10771135240793228,0.09359139949083328,0.10983069986104965
55,709,176.48023074035524,394.6121297602257,295.64174894217206,361,284,430,310,26,69,0.7494714587737844,0.39520624303233,2.6538461528254436,0.12487625330686569,0.04155324399471283,0.0,0.13928987085819244,0.1098255142569542,0.12551173567771912
90,666,232.52186130069782,624.3648648648649,330.6936936936937,599,308,640,353,45,41,0.496274217585693,0.36097560975609755,0.9111111109086419,0.09613732248544693,0.048214834183454514,0.0,0.09456483274698257,0.0872693583369255,0.10657712817192078
75,664,203.19595949289334,540.2063253012049,585.6009036144578,499,574,588,600,26,89,0.7280701754385965,0.28694900605012963,3.4230769217603547,0.06547760218381882,0.05046800523996353,0.0,0.11002209782600403,0.04955105111002922,0.03685916215181351
85,608,167.23759005323592,580.3569078947369,488.9457236842105,550,477,614,505,28,64,0.7581047381546134,0.3392857142857143,2.285714284897959,0.11122506111860275,0.03474147990345955,0.0,0.12777967751026154,0.09994165599346161,0.10595331341028214
